"geo"t"sex"t"agequinq"t"time"t"population"
"AD"t"F"t"Y10-14"t1986-01-01t1704
"AD"t"F"t"Y10-14"t1987-01-01t1759
"AD"t"F"t"Y10-14"t1988-01-01t1772
"AD"t"F"t"Y10-14"t1989-01-01t1795
"AD"t"F"t"Y10-14"t1990-01-01t1712
"AD"t"F"t"Y10-14"t1991-01-01t1760
"AD"t"F"t"Y10-14"t1992-01-01t1755
"AD"t"F"t"Y10-14"t1993-01-01t1775
"AD"t"F"t"Y10-14"t1994-01-01t1818
"AD"t"F"t"Y10-14"t1995-01-01t1718
"AD"t"F"t"Y10-14"t1996-01-01t1653
"AD"t"F"t"Y10-14"t1997-01-01t1625
"AD"t"F"t"Y10-14"t1998-01-01t1517
"AD"t"F"t"Y10-14"t1999-01-01t1512
"AD"t"F"t"Y10-14"t2000-01-01t1571
"AD"t"F"t"Y10-14"t2001-01-01t1572
"AD"t"F"t"Y10-14"t2002-01-01t1619
"AD"t"F"t"Y10-14"t2003-01-01t1692
"AD"t"F"t"Y10-14"t2004-01-01t1751
"AD"t"F"t"Y10-14"t2005-01-01t1781
"AD"t"F"t"Y10-14"t2006-01-01t1816
"AD"t"F"t"Y10-14"t2007-01-01t1821
"AD"t"F"t"Y10-14"t2008-01-01t1829
"AD"t"F"t"Y10-14"t2009-01-01t1888
"AD"t"F"t"Y10-14"t2010-01-01t1988
"AD"t"F"t"Y10-14"t2011-01-01t2059
"AD"t"F"t"Y10-14"t2012-01-01t2059
"AD"t"F"t"Y10-14"t2013-01-01t2045
"AD"t"F"t"Y10-14"t2019-01-01t1903
"AD"t"M"t"Y10-14"t1986-01-01t1819
"AD"t"M"t"Y10-14"t1987-01-01t1903
"AD"t"M"t"Y10-14"t1988-01-01t1914
"AD"t"M"t"Y10-14"t1989-01-01t1946
"AD"t"M"t"Y10-14"t1990-01-01t1916
"AD"t"M"t"Y10-14"t1991-01-01t1881
"AD"t"M"t"Y10-14"t1992-01-01t1874
"AD"t"M"t"Y10-14"t1993-01-01t1884
"AD"t"M"t"Y10-14"t1994-01-01t1946
"AD"t"M"t"Y10-14"t1995-01-01t1795
"AD"t"M"t"Y10-14"t1996-01-01t1724
"AD"t"M"t"Y10-14"t1997-01-01t1697
"AD"t"M"t"Y10-14"t1998-01-01t1689
"AD"t"M"t"Y10-14"t1999-01-01t1642
"AD"t"M"t"Y10-14"t2000-01-01t1671
"AD"t"M"t"Y10-14"t2001-01-01t1671
"AD"t"M"t"Y10-14"t2002-01-01t1689
"AD"t"M"t"Y10-14"t2003-01-01t1726
"AD"t"M"t"Y10-14"t2004-01-01t1841
"AD"t"M"t"Y10-14"t2005-01-01t1943
"AD"t"M"t"Y10-14"t2006-01-01t2013
"AD"t"M"t"Y10-14"t2007-01-01t2091
"AD"t"M"t"Y10-14"t2008-01-01t2138
"AD"t"M"t"Y10-14"t2009-01-01t2161
"AD"t"M"t"Y10-14"t2010-01-01t2183
"AD"t"M"t"Y10-14"t2011-01-01t2225
"AD"t"M"t"Y10-14"t2012-01-01t2225
"AD"t"M"t"Y10-14"t2013-01-01t2163
"AD"t"M"t"Y10-14"t2019-01-01t2124
